3.11	2.63607
3.12	2.64301
3.13	2.64995
3.14	2.65688
3.15	2.6638
3.16	2.67071
3.17	2.6776
3.18	2.68449
3.19	2.69137
3.2	2.69824
3.21	2.7051
3.22	2.71195
3.23	2.71879
3.24	2.72562
3.25	2.73244
3.26	2.73925
3.27	2.74605
3.28	2.75284
3.29	2.75962
3.3	2.76639
3.31	2.77315
3.32	2.7799
3.33	2.78664
3.34	2.79338
3.35	2.8001
3.36	2.80681
3.37	2.81351
3.38	2.8202
3.39	2.82689
3.4	2.83356
3.41	2.84022
3.42	2.84688
3.43	2.85352
3.44	2.86015
3.45	2.86678
3.46	2.87339
3.47	2.88
3.48	2.88659
3.49	2.89318
3.5	2.89975
3.51	2.90632
3.52	2.91287
3.53	2.91942
3.54	2.92595
3.55	2.93248
3.56	2.93899
3.57	2.9455
3.58	2.952
3.59	2.95848
3.6	2.96496
3.61	2.97143
3.62	2.97788
3.63	2.98433
3.64	2.99077
3.65	2.9972
3.66	3.00362
3.67	3.01002
3.68	3.01642
3.69	3.02281
3.7	3.02919
3.71	3.03556
3.72	3.04192
3.73	3.04827
3.74	3.05461
3.75	3.06094
3.76	3.06726
3.77	3.07357
3.78	3.07987
3.79	3.08616
3.8	3.09244
3.81	3.09871
3.82	3.10497
3.83	3.11122
3.84	3.11747
3.85	3.1237
3.86	3.12992
3.87	3.13613
3.88	3.14233
3.89	3.14853
3.9	3.15471
3.91	3.16088
3.92	3.16705
3.93	3.1732
3.94	3.17934
3.95	3.18548
3.96	3.1916
3.97	3.19772
3.98	3.20382
3.99	3.20992
4	3.216
4.01	3.22208
4.02	3.22814
4.03	3.2342
4.04	3.24024
4.05	3.24628
4.06	3.2523
4.07	3.25832
4.08	3.26433
4.09	3.27032
4.1	3.27631
4.11	3.28229
4.12	3.28825
4.13	3.29421
4.14	3.30016
4.15	3.3061
4.16	3.31203
4.17	3.31794
4.18	3.32385
4.19	3.32975
4.2	3.33564
4.21	3.34152
4.22	3.34739
4.23	3.35325
4.24	3.3591
4.25	3.36494
4.26	3.37077
4.27	3.37659
4.28	3.3824
4.29	3.3882
4.3	3.39399
4.31	3.39977
4.32	3.40554
4.33	3.4113
4.34	3.41706
4.35	3.4228
4.36	3.42853
4.37	3.43425
4.38	3.43996
4.39	3.44567
4.4	3.45136
4.41	3.45704
4.42	3.46272
4.43	3.46838
4.44	3.47403
4.45	3.47968
4.46	3.48531
4.47	3.49094
4.48	3.49655
4.49	3.50216
4.5	3.50775
4.51	3.51334
4.52	3.51891
4.53	3.52448
4.54	3.53003
4.55	3.53558
4.56	3.54111
4.57	3.54664
4.58	3.55216
4.59	3.55766
4.6	3.56316
4.61	3.56865
4.62	3.57412
4.63	3.57959
4.64	3.58505
4.65	3.5905
4.66	3.59594
4.67	3.60136
4.68	3.60678
4.69	3.61219
4.7	3.61759
4.71	3.62298
4.72	3.62836
4.73	3.63373
4.74	3.63909
4.75	3.64444
4.76	3.64978
4.77	3.65511
4.78	3.66043
4.79	3.66574
4.8	3.67104
4.81	3.67633
4.82	3.68161
4.83	3.68688
4.84	3.69215
4.85	3.6974
4.86	3.70264
4.87	3.70787
4.88	3.71309
4.89	3.71831
4.9	3.72351
4.91	3.7287
4.92	3.73389
4.93	3.73906
4.94	3.74422
4.95	3.74938
4.96	3.75452
4.97	3.75966
4.98	3.76478
4.99	3.7699
5	3.775
5.01	3.7801
5.02	3.78518
5.03	3.79026
5.04	3.79532
5.05	3.80038
5.06	3.80542
5.07	3.81046
5.08	3.81549
5.09	3.8205
5.1	3.82551
5.11	3.83051
5.12	3.83549
5.13	3.84047
5.14	3.84544
5.15	3.8504
5.16	3.85535
5.17	3.86028
5.18	3.86521
5.19	3.87013
5.2	3.87504
5.21	3.87994
5.22	3.88483
5.23	3.88971
5.24	3.89458
5.25	3.89944
5.26	3.90429
5.27	3.90913
5.28	3.91396
5.29	3.91878
5.3	3.92359
5.31	3.92839
5.32	3.93318
5.33	3.93796
5.34	3.94274
5.35	3.9475
5.36	3.95225
5.37	3.95699
5.38	3.96172
5.39	3.96645
5.4	3.97116
5.41	3.97586
5.42	3.98056
5.43	3.98524
5.44	3.98991
5.45	3.99458
5.46	3.99923
5.47	4.00388
5.48	4.00851
5.49	4.01314
5.5	4.01775
5.51	4.02236
5.52	4.02695
5.53	4.03154
5.54	4.03611
5.55	4.04068
5.56	4.04523
5.57	4.04978
5.58	4.05432
5.59	4.05884
5.6	4.06336
5.61	4.06787
5.62	4.07236
5.63	4.07685
5.64	4.08133
5.65	4.0858
5.66	4.09026
5.67	4.0947
5.68	4.09914
5.69	4.10357
5.7	4.10799
5.71	4.1124
5.72	4.1168
5.73	4.12119
5.74	4.12557
5.75	4.12994
5.76	4.1343
5.77	4.13865
5.78	4.14299
5.79	4.14732
5.8	4.15164
5.81	4.15595
5.82	4.16025
5.83	4.16454
5.84	4.16883
5.85	4.1731
5.86	4.17736
5.87	4.18161
5.88	4.18585
5.89	4.19009
5.9	4.19431
5.91	4.19852
5.92	4.20273
5.93	4.20692
5.94	4.2111
5.95	4.21528
5.96	4.21944
5.97	4.2236
5.98	4.22774
5.99	4.23188
6	4.236
6.01	4.24012
6.02	4.24422
6.03	4.24832
6.04	4.2524
6.05	4.25648
6.06	4.26054
6.07	4.2646
6.08	4.26865
6.09	4.27268
6.1	4.27671
6.11	4.28073
6.12	4.28473
6.13	4.28873
6.14	4.29272
6.15	4.2967
6.16	4.30067
6.17	4.30462
6.18	4.30857
6.19	4.31251
6.2	4.31644
6.21	4.32036
6.22	4.32427
6.23	4.32817
6.24	4.33206
6.25	4.33594
6.26	4.33981
6.27	4.34367
6.28	4.34752
6.29	4.35136
6.3	4.35519
6.31	4.35901
6.32	4.36282
6.33	4.36662
6.34	4.37042
6.35	4.3742
6.36	4.37797
6.37	4.38173
6.38	4.38548
6.39	4.38923
6.4	4.39296
6.41	4.39668
6.42	4.4004
6.43	4.4041
6.44	4.40779
6.45	4.41148
6.46	4.41515
6.47	4.41882
6.48	4.42247
6.49	4.42612
6.5	4.42975
6.51	4.43338
6.52	4.43699
6.53	4.4406
6.54	4.44419
6.55	4.44778
6.56	4.45135
6.57	4.45492
6.58	4.45848
6.59	4.46202
6.6	4.46556
6.61	4.46909
6.62	4.4726
6.63	4.47611
6.64	4.47961
6.65	4.4831
6.66	4.48658
6.67	4.49004
6.68	4.4935
6.69	4.49695
6.7	4.50039
6.71	4.50382
6.72	4.50724
6.73	4.51065
6.74	4.51405
6.75	4.51744
6.76	4.52082
6.77	4.52419
6.78	4.52755
6.79	4.5309
6.8	4.53424
6.81	4.53757
6.82	4.54089
6.83	4.5442
6.84	4.54751
6.85	4.5508
6.86	4.55408
6.87	4.55735
6.88	4.56061
6.89	4.56387
6.9	4.56711
6.91	4.57034
6.92	4.57357
6.93	4.57678
6.94	4.57998
6.95	4.58318
6.96	4.58636
6.97	4.58954
6.98	4.5927
6.99	4.59586
7	4.599
7.01	4.60214
7.02	4.60526
7.03	4.60838
7.04	4.61148
7.05	4.61458
7.06	4.61766
7.07	4.62074
7.08	4.62381
7.09	4.62686
7.1	4.62991
7.11	4.63295
7.12	4.63597
7.13	4.63899
7.14	4.642
7.15	4.645
7.16	4.64799
7.17	4.65096
7.18	4.65393
7.19	4.65689
7.2	4.65984
7.21	4.66278
7.22	4.66571
7.23	4.66863
7.24	4.67154
7.25	4.67444
7.26	4.67733
7.27	4.68021
7.28	4.68308
7.29	4.68594
7.3	4.68879
7.31	4.69163
7.32	4.69446
7.33	4.69728
